Hogar,ID Individuo,Núcleo,PaísOrigen,TieneDNI,EdadMeses,Sexo,RelconJefeFlia,Educacion,EstuActual,Trabaja,NoTrabBusca,SiTrabHaceCuanto,SiTrabFormal,Ocupacion,ProbSalud,DiscaCroni,Embarazo,RecibePlanSocial,TipoPlanSocial1,TipoPlanSocial2,IngTrab,IngPlan,EdadHijoMenorMess,CantTotalDePers,CantTotalDeMuj,CantPersSinProbSal,CantTotalHijos,CantTotalHijMen18,CantJefHog,CantPersTrab,CantPersTrabForm,CantEmb,CantEnfCron,CantPersEdadTrab2560,Barrio,Zona,Sede,TiempoViveBarrio,TiempoViveCasa,DimCasa,AmbCasa,CantCamas,CantPersCasa,EstPropCasa,Inunda,Viento,Humeda,Inestable,OtraSit,PoseeTerrenoAdec,UsoVDE,MatTecho,MatParedes,TipoPiso,EstadoTecho,EstadoPared,EstadoPiso,EstPropTerreno,UbicTerreno,SitDomTerreno,HundimientoTerreno,PozoNegroTerreno,NoEspacioTerreno,CañosEscPisoTerreno,InundacionesTerreno,MatConst,TieneTerrenoVDE,Campo39,AccesoAgua,Baño,ConexionLuz,ConexionAgua,ElimSanitaria,ComoCocina,Prioridad,
1031,103001,1,Argentina,Si,344,Femenino,Jefe de Hogar,08 - Secundaria Completa,,Si,,2,No,Cooperativista,Ninguno,No,Si,Si,AUH,Argentina Trabaja,2200,880,13,9,5,6,7,7,1,2,,1,1,2,"Puente de Fierro, La Plata",La Plata,04 - Gran La Plata,10,8,42,6,7,9,01 - Propia,No,Si,No,Si,No,,,01 - Chapa,06 -Lona / Cartón / Adobe / Paja,01 - Cemento,03 - Irrecuperable,03 - Irrecuperable,02 - Reparable,01 - Propio,01 - Donde vive ahora,01 - Irregular (sin título de propiedad),No,No,No,No,No,No,Si,02 - Dormitorio adicional,04 - Fuera de la casa pero dentro del terreno,"03 - Si, fuera de la casa","04 - Si, irregular (""colgado"")","01 - Agua corriente irregular (""enganchados"")",03 - Pozo negro,03 - Garrafa,04 - Alta,
10331,1033002,1,Argentina,Si,334,Femenino,Jefe de Hogar,05 - Primaria Completa,No,No,No,,,Ama de Casa,Otra,No,No,Si,AUH,Ninguno,4000,810,18,5,1,4,3,3,2,1,,,,2,"Caballeriza, Obera",Oberá,05 - Misiones,7,7,18,2,4,5,01 - Propia,Si,Si,No,No,No,Si,02 - Dormitorio Adicional,01 - Chapa,07 - Madera,01 - Cemento,02 - Reparable,02 - Reparable,02 - Reparable,01 - Propio,01 - Donde vive ahora,01 - Irregular (sin título de propiedad),No,No,No,No,Si,No,Si,02 - Dormitorio adicional,04 - Fuera de la casa pero dentro del terreno,"03 - Si, fuera de la casa","04 - Si, irregular (""colgado"")",05 - Pozo / Aljibe,01 - No tiene,03 - Garrafa,02 - Media-Baja,
10351,1035001,1,Argentina,Si,248,Femenino,Jefe de Hogar,04 - Primaria Incompleta,No,No,Si,,,No Trabaja,Ninguno,No,No,Si,AUH,Ninguno,1500,430,24,4,2,2,2,2,1,1,,,,1,"IAPI, Quilmes",Quilmes,01 - Buenos Aires,10,10,70,7,7,10,01 - Propia,Si,No,Si,No,No,Si,04 - Vivienda Unica,01 - Chapa,05 - Ladrillo,01 - Cemento,02 - Reparable,02 - Reparable,01 - Bueno,01 - Propio,03 - En otro sector del mismo barrio,03 - Regular (con título de propiedad),No,No,No,No,No,No,Si,03 - Vivienda única,04 - Fuera de la casa pero dentro del terreno,"02 - Si, dentro de la casa","04 - Si, irregular (""colgado"")",02 - Agua corriente regular,03 - Pozo negro,03 - Garrafa,03 - Media-Alta,
10381,1038002,1,Argentina,Si,309,Femenino,Jefe de Hogar,04 - Primaria Incompleta,No,No,,,,Ama de Casa,Ninguno,No,No,Si,AUH,Ninguno,2000,548,3,4,3,3,2,2,2,1,,,,1,"La Porteña, Ezeiza",Ezeiza,01 - Buenos Aires,23,2,12,2,2,4,01 - Propia,Si,Si,No,No,No,Si,04 - Vivienda Unica,01 - Chapa,07 - Madera,01 - Cemento,03 - Irrecuperable,03 - Irrecuperable,02 - Reparable,01 - Propio,03 - En otro sector del mismo barrio,02 - En vías de regularización,No,No,No,No,No,No,Si,03 - Vivienda única,04 - Fuera de la casa pero dentro del terreno,"02 - Si, dentro de la casa","03 - Si, con medidor particular",05 - Pozo / Aljibe,03 - Pozo negro,03 - Garrafa,04 - Alta,
1041,104001,1,Argentina,Si,323,Femenino,Jefe de Hogar,08 - Secundaria Completa,No,No,No,,,Ama de Casa,Otra,Si,Si,Si,AUH,Ninguno,3000,810,31,6,4,1,4,4,2,1,,1,5,2,"Acuba, Lanús",Lanús,01 - Buenos Aires,5,5,18,2,4,6,01 - Propia,Si,Si,Si,Si,No,,,01 - Chapa,07 - Madera,01 - Cemento,01 - Bueno,03 - Irrecuperable,02 - Reparable,01 - Propio,01 - Donde vive ahora,02 - En vías de regularización,No,No,No,Si,Si,No,Si,02 - Dormitorio adicional,04 - Fuera de la casa pero dentro del terreno,"03 - Si, fuera de la casa","04 - Si, irregular (""colgado"")","01 - Agua corriente irregular (""enganchados"")",03 - Pozo negro,03 - Garrafa,04 - Alta,
10411,1041001,1,Argentina,Si,261,Femenino,Jefe de Hogar,03 - Primaria En Curso,,No,,,,Ama de Casa,Respiratorio,No,No,Si,AUH,Ninguno,2000,530,26,3,2,2,1,1,1,1,,,,1,"Familias Unidas, Posadas",Posadas,05 - Misiones,0,0,25,1,2,3,03 - Prestada,Si,Si,Si,Si,No,Si,04 - Vivienda Unica,04 - Lona / Cartón / Adobe,07 - Madera,04 - Tierra / Alfombra sobre tierra,03 - Irrecuperable,03 - Irrecuperable,03 - Irrecuperable,01 - Propio,03 - En otro sector del mismo barrio,,No,No,No,No,No,No,Si,03 - Vivienda única,04 - Fuera de la casa pero dentro del terreno,,"04 - Si, irregular (""colgado"")",05 - Pozo / Aljibe,03 - Pozo negro,03 - Garrafa,04 - Alta,
10421,1042001,1,Argentina,Si,294,Femenino,Jefe de Hogar,07 - Secundaria Incompleta,,No,Si,,,Ama de Casa,Ninguno,No,No,Si,AUH,Ninguno,0,400,89,2,2,1,1,1,1,,,,,0,"Familias Unidas, Posadas",Posadas,05 - Misiones,11,0,9,1,3,2,01 - Propia,No,Si,Si,No,No,No,04 - Vivienda Unica,04 - Lona / Cartón / Adobe,07 - Madera,04 - Tierra / Alfombra sobre tierra,03 - Irrecuperable,03 - Irrecuperable,03 - Irrecuperable,01 - Propio,01 - Donde vive ahora,01 - Irregular (sin título de propiedad),No,No,No,No,No,No,Si,03 - Vivienda única,04 - Fuera de la casa pero dentro del terreno,"03 - Si, fuera de la casa","04 - Si, irregular (""colgado"")",06 -Otro,03 - Pozo negro,01 - Brasera a leña,04 - Alta,
10441,1044001,1,Argentina,Si,274,Masculino,Jefe de Hogar,04 - Primaria Incompleta,No,Si,,3,No,Albañil/Obrero Construcción,Ninguno,No,No,Si,AUH,Ninguno,2800,530,7,6,2,6,4,4,1,1,,,,0,"Ingeniero Allan, Florencio Varela",Florencio Varela,01 - Buenos Aires,7,7,20,2,4,6,01 - Propia,No,Si,No,Si,No,,,01 - Chapa,07 - Madera,01 - Cemento,03 - Irrecuperable,03 - Irrecuperable,02 - Reparable,04 - Otra Situacion,01 - Donde vive ahora,01 - Irregular (sin título de propiedad),No,No,No,No,Si,No,Si,02 - Dormitorio adicional,05 - Le pide a un vecino,"02 - Si, dentro de la casa","03 - Si, con medidor particular",06 -Otro,03 - Pozo negro,03 - Garrafa,01 - Baja,
10461,1046001,1,Argentina,Si,445,Femenino,Jefe de Hogar,04 - Primaria Incompleta,No,Si,,3,No,Cooperativista,Otra,No,No,Si,AUH,Ninguno,2349,1800,24,7,4,5,5,5,2,2,,,,2,"El Retiro/El Triunfo, La Plata",La Plata,04 - Gran La Plata,7,7,35,5,7,7,03 - Prestada,Si,Si,Si,No,No,,,01 - Chapa,07 - Madera,01 - Cemento,01 - Bueno,02 - Reparable,01 - Bueno,01 - Propio,03 - En otro sector del mismo barrio,01 - Irregular (sin título de propiedad),No,No,No,No,No,No,Si,02 - Dormitorio adicional,03 - Dentro de la casa,"02 - Si, dentro de la casa","04 - Si, irregular (""colgado"")","01 - Agua corriente irregular (""enganchados"")",03 - Pozo negro,03 - Garrafa,03 - Media-Alta,
10471,1047001,1,Bolivia,Si,292,Femenino,Jefe de Hogar,08 - Secundaria Completa,No,No,No,,,Ama de Casa,Respiratorio,No,Si,Si,AUH,Otro,1800,534,37,4,3,3,2,2,2,1,,1,,0,"Vista Alegre, Ezeiza",Ezeiza,01 - Buenos Aires,7,7,16,1,4,4,01 - Propia,No,Si,Si,No,No,Si,02 - Dormitorio Adicional,01 - Chapa,07 - Madera,01 - Cemento,02 - Reparable,02 - Reparable,01 - Bueno,03 - Prestado,01 - Donde vive ahora,02 - En vías de regularización,No,No,No,No,No,No,Si,02 - Dormitorio adicional,04 - Fuera de la casa pero dentro del terreno,"03 - Si, fuera de la casa","02 - Si, con medidor comunitario",05 - Pozo / Aljibe,03 - Pozo negro,03 - Garrafa,03 - Media-Alta,
10501,1050001,1,Argentina,Si,356,Femenino,Jefe de Hogar,04 - Primaria Incompleta,,No,Si,,,No Trabaja,Ninguno,No,No,Si,AUH,Ninguno,1501,650,39,5,2,5,3,3,2,1,,,,2,"Los Cedros, Moreno",Moreno,01 - Buenos Aires,4,4,18,3,4,5,01 - Propia,Si,Si,Si,No,No,,,01 - Chapa,07 - Madera,03 - Madera,03 - Irrecuperable,02 - Reparable,02 - Reparable,01 - Propio,01 - Donde vive ahora,01 - Irregular (sin título de propiedad),Si,No,No,No,No,No,Si,02 - Dormitorio adicional,03 - Dentro de la casa,"02 - Si, dentro de la casa","04 - Si, irregular (""colgado"")",05 - Pozo / Aljibe,03 - Pozo negro,03 - Garrafa,03 - Media-Alta,
10521,1052001,1,Argentina,Si,383,Femenino,Jefe de Hogar,05 - Primaria Completa,No,No,,,,Ama de Casa,Ninguno,No,No,Si,Ninguno,Ninguno,0,0,10,8,4,8,7,7,1,,,,,1,"IAPI, Quilmes",Quilmes,01 - Buenos Aires,31,0,8,1,2,8,04 - Tomada,Si,Si,Si,Si,No,,,01 - Chapa,06 -Lona / Cartón / Adobe / Paja,01 - Cemento,02 - Reparable,02 - Reparable,02 - Reparable,04 - Otra Situacion,01 - Donde vive ahora,02 - En vías de regularización,No,No,No,No,No,No,Si,03 - Vivienda única,04 - Fuera de la casa pero dentro del terreno,01 - No tiene,"04 - Si, irregular (""colgado"")",02 - Agua corriente regular,03 - Pozo negro,05 - Otro,03 - Media-Alta,
10551,1055001,1,Argentina,Si,380,Femenino,Jefe de Hogar,05 - Primaria Completa,No,No,No,,,Ama de Casa,Ninguno,No,No,Si,AUH,Ninguno,0,1000,39,6,2,6,4,4,1,,,,,2,"IAPI, Quilmes",Quilmes,01 - Buenos Aires,0,10,33,2,5,7,01 - Propia,Si,Si,Si,Si,No,,,01 - Chapa,03 - Chapa,04 - Tierra / Alfombra sobre tierra,02 - Reparable,03 - Irrecuperable,03 - Irrecuperable,03 - Prestado,01 - Donde vive ahora,03 - Regular (con título de propiedad),No,No,No,Si,No,No,Si,02 - Dormitorio adicional,04 - Fuera de la casa pero dentro del terreno,"02 - Si, dentro de la casa","04 - Si, irregular (""colgado"")","01 - Agua corriente irregular (""enganchados"")",03 - Pozo negro,03 - Garrafa,04 - Alta,
10561,1056001,1,Argentina,Si,377,Femenino,Jefe de Hogar,01 - Ninguno,No,Si,,3,No,Changarín,Ninguno,No,No,Si,Ninguno,Ninguno,480,0,70,5,4,5,4,4,1,1,,,,1,"Los Pumitas, Rosario",Rosario,08 - Rosario,13,13,21,2,4,5,01 - Propia,Si,No,No,No,No,Si,01 - Comedor,01 - Chapa,03 - Chapa,04 - Tierra / Alfombra sobre tierra,03 - Irrecuperable,03 - Irrecuperable,03 - Irrecuperable,01 - Propio,01 - Donde vive ahora,01 - Irregular (sin título de propiedad),No,No,No,No,No,No,Si,01 - Comedor / Cocina,04 - Fuera de la casa pero dentro del terreno,"03 - Si, fuera de la casa","02 - Si, con medidor comunitario","01 - Agua corriente irregular (""enganchados"")",01 - No tiene,03 - Garrafa,03 - Media-Alta,
1059,1059001,,Argentina,Si,276,Femenino,Jefe de Hogar,07 - Secundaria Incompleta,No,No,Si,,,No Trabaja,Otra,No,No,Si,AUH,Ninguno,0,420,29,3,3,2,2,2,1,,,,,0,"Miralta, Cordoba Capital",Córdoba Capital,02 - Cordoba,22,9,12,3,2,6,03 - Prestada,No,No,No,Si,No,Si,04 - Vivienda Unica,01 - Chapa,05 - Ladrillo,01 - Cemento,02 - Reparable,02 - Reparable,03 - Irrecuperable,01 - Propio,01 - Donde vive ahora,01 - Irregular (sin título de propiedad),No,No,No,No,No,No,,03 - Vivienda única,03 - Dentro de la casa,"02 - Si, dentro de la casa","02 - Si, con medidor comunitario","01 - Agua corriente irregular (""enganchados"")",03 - Pozo negro,03 - Garrafa,03 - Media-Alta,
10661,1066001,1,Argentina,Si,324,Femenino,Jefe de Hogar,04 - Primaria Incompleta,No,No,No,,,No Trabaja,Ninguno,No,No,Si,AUH,Ninguno,1000,420,43,4,3,3,2,2,2,1,,,,1,"Sol y Verde, José C. Paz",José C. Paz,01 - Buenos Aires,7,6,24,2,3,4,01 - Propia,No,Si,No,No,No,,,04 - Lona / Cartón / Adobe,07 - Madera,04 - Tierra / Alfombra sobre tierra,03 - Irrecuperable,03 - Irrecuperable,03 - Irrecuperable,01 - Propio,01 - Donde vive ahora,01 - Irregular (sin título de propiedad),No,No,No,No,No,No,Si,02 - Dormitorio adicional,04 - Fuera de la casa pero dentro del terreno,"02 - Si, dentro de la casa","04 - Si, irregular (""colgado"")",05 - Pozo / Aljibe,03 - Pozo negro,03 - Garrafa,04 - Alta,
10671,1067001,1,Argentina,Si,269,Femenino,Jefe de Hogar,07 - Secundaria Incompleta,No,No,,,,No Trabaja,Ninguno,No,Si,Si,AUH,Ninguno,0,800,28,4,2,2,2,2,2,,,1,,0,"Santa Brigida, Pilar",Pilar,01 - Buenos Aires,6,6,24,1,3,4,01 - Propia,No,Si,No,No,No,,,05 - Madera,07 - Madera,01 - Cemento,02 - Reparable,02 - Reparable,01 - Bueno,03 - Prestado,01 - Donde vive ahora,01 - Irregular (sin título de propiedad),No,No,No,No,No,No,Si,03 - Vivienda única,04 - Fuera de la casa pero dentro del terreno,"03 - Si, fuera de la casa","04 - Si, irregular (""colgado"")","01 - Agua corriente irregular (""enganchados"")",03 - Pozo negro,03 - Garrafa,03 - Media-Alta,
10711,1071001,1,Argentina,Si,431,Femenino,Jefe de Hogar,05 - Primaria Completa,No,No,No,,,No Trabaja,Otra,No,No,Si,AUH,Pension,0,1400,41,4,1,1,3,3,1,,,,1,1,"14 de Febrero, Almirante Brown",Almirante Brown,01 - Buenos Aires,1,0,12,2,4,4,01 - Propia,No,No,No,Si,No,Si,02 - Dormitorio Adicional,01 - Chapa,07 - Madera,01 - Cemento,03 - Irrecuperable,03 - Irrecuperable,02 - Reparable,01 - Propio,01 - Donde vive ahora,02 - En vías de regularización,No,No,No,No,No,Si,Si,02 - Dormitorio adicional,04 - Fuera de la casa pero dentro del terreno,"02 - Si, dentro de la casa","04 - Si, irregular (""colgado"")",05 - Pozo / Aljibe,03 - Pozo negro,03 - Garrafa,02 - Media-Baja,
10771,1077001,1,Argentina,Si,235,Femenino,Jefe de Hogar,07 - Secundaria Incompleta,No,No,Si,,,No Trabaja,Ninguno,No,No,Si,AUH,Ninguno,0,460,14,2,2,2,1,1,1,,,,,0,"Peruzotti, Pilar",Pilar,01 - Buenos Aires,19,19,24,2,7,11,01 - Propia,No,Si,Si,No,No,,,01 - Chapa,05 - Ladrillo,01 - Cemento,02 - Reparable,02 - Reparable,03 - Irrecuperable,01 - Propio,01 - Donde vive ahora,01 - Irregular (sin título de propiedad),No,No,No,No,No,No,,03 - Vivienda única,03 - Dentro de la casa,"02 - Si, dentro de la casa","03 - Si, con medidor particular",02 - Agua corriente regular,03 - Pozo negro,03 - Garrafa,03 - Media-Alta,
10802,1080003,2,Argentina,Si,535,Femenino,Jefe de Hogar,04 - Primaria Incompleta,No,No,Si,,,No Trabaja,Respiratorio,No,No,Si,AUH,Ninguno,1000,1000,172,5,2,3,3,2,2,1,,,,2,"Manantiales, Posadas",Posadas,05 - Misiones,10,1,36,4,6,7,01 - Propia,Si,Si,Si,No,No,Si,02 - Dormitorio Adicional,01 - Chapa,07 - Madera,01 - Cemento,01 - Bueno,02 - Reparable,01 - Bueno,01 - Propio,01 - Donde vive ahora,01 - Irregular (sin título de propiedad),No,No,No,No,No,Si,Si,02 - Dormitorio adicional,03 - Dentro de la casa,"02 - Si, dentro de la casa","02 - Si, con medidor comunitario","01 - Agua corriente irregular (""enganchados"")",03 - Pozo negro,03 - Garrafa,03 - Media-Alta,
10811,1081001,1,Argentina,Si,435,Femenino,Jefe de Hogar,04 - Primaria Incompleta,No,No,,,,No Trabaja,Otra,No,No,Si,AUH,Ninguno,0,560,22,8,4,7,7,7,1,,,,,1,"El Manzanar, Pilar",Pilar,01 - Buenos Aires,1,1,21,2,2,8,03 - Prestada,Si,Si,No,Si,No,,,04 - Lona / Cartón / Adobe,07 - Madera,04 - Tierra / Alfombra sobre tierra,03 - Irrecuperable,02 - Reparable,03 - Irrecuperable,03 - Prestado,01 - Donde vive ahora,01 - Irregular (sin título de propiedad),No,No,No,No,No,No,Si,03 - Vivienda única,01 - No tiene,"02 - Si, dentro de la casa","04 - Si, irregular (""colgado"")",03 - Camión,03 - Pozo negro,03 - Garrafa,04 - Alta,
10852,1085001,2,Argentina,Si,276,Femenino,Jefe de Hogar,05 - Primaria Completa,No,No,No,,,No Trabaja,Ninguno,No,Si,Si,AUH,Ninguno,0,270,67,2,1,1,1,1,1,,,1,1,0,"Doña Justa, Escobar",Escobar,01 - Buenos Aires,43,43,40,5,9,10,01 - Propia,No,No,No,No,No,,,01 - Chapa,05 - Ladrillo,01 - Cemento,03 - Irrecuperable,03 - Irrecuperable,02 - Reparable,01 - Propio,01 - Donde vive ahora,01 - Irregular (sin título de propiedad),No,No,No,No,No,No,Si,03 - Vivienda única,04 - Fuera de la casa pero dentro del terreno,"02 - Si, dentro de la casa","04 - Si, irregular (""colgado"")",06 -Otro,03 - Pozo negro,03 - Garrafa,04 - Alta,
